   35.00000       10.00000     0. I01
   30.50000      -32.50000     0. I02
   20.00000      0.0000000E+00 0. I03
   20.00000      -15.00000     0. I04
   17.50000       25.00000     0. I05
   10.00000       32.00000     0. I06
   10.00000       10.00000     0. I07
   8.500000       20.00000     0. I08
   8.500000      -20.00000     0. I09
   5.000000      -23.50000     0. I10
   3.000000       10.00000     0. I11
   3.000000      0.0000000E+00 0. I12
   3.000000      -5.000000     0. I13
   2.500000       17.50000     0. I14
   3.000000       35.00000     0. I15
   5.000000      -45.00000     0. I16
   1.000000      -20.00000     0. I17
   1.000000       10.00000     0. I18
   1.000000      -5.000000     0. I19
   1.000000      -15.00000     0. I20
  -1.000000       25.00000     0. I21
  -3.000000      -35.00000     0. I22
  -1.000000      -25.00000     0. I23
  -1.000000       15.00000     0. I24
  -1.000000       5.000000     0. I25
  -1.000000      0.0000000E+00 0. I26
  -1.000000      -10.00000     0. I27
  -3.000000       10.00000     0. I28
  -3.000000      0.0000000E+00 0. I29
  -3.000000      -10.00000     0. I30
  -8.500000      -20.00000     0. I31
  -10.00000       32.50000     0. I32
  -10.00000       10.00000     0. I33
  -10.00000      -10.00000     0. I34
  -17.50000      -25.00000     0. I35
  -17.50000       40.00000     0. I36
  -20.00000       15.00000     0. I37
  -20.00000      0.0000000E+00 0. I38
  -30.50000       32.50000     0. I39
  -35.00000       10.00000     0. I40
35	-10    0.    P01
17.5	-40    0.  P02
20	15     0.    P03
10	-10    0.    P04
2.5	-17.5  0.    P05
3	-35    0.      P06
1	15     0.      P07
1	-10    0.      P08
-5	45     0.    P09
-1	-5     0.    P10
-3	5      0.    P11
-5	-23.5  0.    P12
-17.5	25     0.  P13
-17.5	-40    0.  P14
-20	-15    0.    P15
-30.5	-32.5  0.  P16
